epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.811,0.91287,1.99996,1.12517,0.93852,1,0.96625,0.79709,0.7155,1.97076,0.89704,0.000652778,0.000652778,0.000652778
2,211.463,0.92157,1.34175,1.06176,0.94967,1,0.98958,0.78033,0.89157,1.56606,0.99724,0.00129332,0.00129332,0.00129332
3,302.684,0.97304,1.52097,1.0881,0.95534,1,0.99333,0.73615,0.88231,1.35923,1.0295,0.00190746,0.00190746,0.00190746
4,399.62,0.95456,1.39993,1.07568,0.95557,1,0.99167,0.6999,0.91659,3.02641,1.27818,0.0018812,0.0018812,0.0018812
5,498.428,0.99891,1.29821,1.04109,0.75701,1,0.98792,0.64339,1.36131,4.42691,1.42379,0.0018416,0.0018416,0.0018416
6,592.771,0.88957,1.17621,1.06611,0.9536,1,0.9825,0.7966,0.72773,1.55469,0.93295,0.001802,0.001802,0.001802
7,676.726,0.93647,1.12367,1.04434,0.82039,1,0.96525,0.78543,0.7482,1.52228,0.95488,0.0017624,0.0017624,0.0017624
8,765.229,0.9214,1.13308,1.03934,0.94936,1,0.9625,0.74977,0.82835,1.52933,0.98559,0.0017228,0.0017228,0.0017228
9,854.8,0.90714,1.01519,0.99275,0.95014,1,0.9625,0.73995,0.84875,1.52451,1.02403,0.0016832,0.0016832,0.0016832
10,938.636,0.90231,1.0353,1.03287,0.94905,1,0.9625,0.76819,0.89338,1.52763,1.08043,0.0016436,0.0016436,0.0016436
11,1023.98,0.85933,0.95227,1.00361,0.95331,1,0.95708,0.76844,0.7301,1.17235,0.95483,0.001604,0.001604,0.001604
12,1106.27,0.85477,0.89009,0.99287,0.95556,1,0.95354,0.78943,0.69938,1.07734,0.91483,0.0015644,0.0015644,0.0015644
13,1190.57,0.85632,0.91272,1.01147,0.95581,1,0.96792,0.80299,0.66146,1.07021,0.90959,0.0015248,0.0015248,0.0015248
14,1290.08,0.83118,0.82599,0.98554,0.95593,1,0.98083,0.84652,0.65136,0.87925,0.87944,0.0014852,0.0014852,0.0014852
15,1380.79,0.79068,0.79346,0.96262,0.95591,1,0.98083,0.83642,0.63404,0.83655,0.88737,0.0014456,0.0014456,0.0014456
16,1469.38,0.77034,0.78171,0.95548,0.95391,1,0.98083,0.84001,0.66743,0.87276,0.87718,0.001406,0.001406,0.001406
17,1557.28,0.83185,0.7757,0.98514,0.95528,1,0.9825,0.84677,0.60788,0.84831,0.85309,0.0013664,0.0013664,0.0013664
18,1647.9,0.77612,0.77706,0.97489,0.95526,1,0.98417,0.83391,0.63802,0.83153,0.84482,0.0013268,0.0013268,0.0013268
19,1726.66,0.76297,0.78559,0.96558,0.95538,1,0.98792,0.85897,0.62909,0.83219,0.85035,0.0012872,0.0012872,0.0012872
20,1805.77,0.73668,0.73539,0.96407,0.95503,1,0.98625,0.86167,0.59861,0.78017,0.85167,0.0012476,0.0012476,0.0012476
21,1883.97,0.73454,0.70296,0.96201,0.9556,1,0.97542,0.83728,0.59939,0.75025,0.84943,0.001208,0.001208,0.001208
22,1961.69,0.75642,0.68943,0.95154,0.95594,1,0.95542,0.80354,0.63832,0.73368,0.84301,0.0011684,0.0011684,0.0011684
23,2042.39,0.81152,0.71775,0.96574,0.9559,1,0.95354,0.7888,0.68934,0.73608,0.85879,0.0011288,0.0011288,0.0011288
24,4469.66,0.76665,0.66616,0.94567,0.95563,1,0.98083,0.85021,0.60197,0.74587,0.83895,0.0010892,0.0010892,0.0010892
25,4571.6,0.76838,0.68056,0.97853,0.95538,1,0.97708,0.86141,0.57576,0.73568,0.83257,0.0010496,0.0010496,0.0010496
26,4671.63,0.75579,0.6438,0.95281,0.95488,1,0.97875,0.85614,0.60556,0.72946,0.84124,0.00101,0.00101,0.00101
